,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
351,sao joao do piaui,86,BR,1578774840,81,-8.36,-42.25,77.85,1.57
352,henties bay,72,NA,1578774840,89,-22.12,14.28,64.0,1.99
353,airai,100,TL,1578774840,87,-8.93,125.41,67.69,4.79
354,pindiga,0,NG,1578774840,25,9.98,10.93,79.21,8.68
355,aklavik,20,CA,1578774840,74,68.22,-135.01,-19.64,2.24
356,khandyga,60,RU,1578774841,99,62.67,135.6,-24.09,1.95
357,vanimo,100,PG,1578774841,81,-2.67,141.3,80.8,8.5
358,acari,50,PE,1578774841,73,-15.43,-74.62,68.85,9.35
359,leningradskiy,100,RU,1578774841,91,69.38,178.42,-1.21,14.94
360,kampene,100,CD,1578774841,99,-3.6,26.67,67.57,1.77
361,opuwo,100,NA,1578774842,55,-18.06,13.84,69.8,9.62
362,oksfjord,90,NO,1578774842,79,70.24,22.35,26.04,19.46
363,villaviciosa,93,ES,1578774842,87,43.48,-5.44,45.72,3.36
364,saint-augustin,100,CA,1578774842,95,51.23,-58.65,27.93,15.17
365,wanning,91,CN,1578774842,90,18.8,110.4,67.12,7.58
366,kamennogorsk,90,RU,1578774842,80,60.95,29.13,32.81,12.75
367,praia da vitoria,20,PT,1578774843,81,38.73,-27.07,53.6,9.95
368,barentu,0,ER,1578774843,55,15.11,37.59,52.65,3.91
369,touros,40,BR,1578774754,69,-5.2,-35.46,82.4,14.99
370,harindanga,0,IN,1578774843,93,22.04,88.32,53.6,5.82
371,baoshan,0,CN,1578774843,89,46.56,131.42,-3.42,8.05
372,zhezkazgan,48,KZ,1578774843,99,47.8,67.71,4.98,1.54
373,rangapara,0,IN,1578774843,68,26.82,92.65,52.56,4.12
374,santos reyes nopala,5,MX,1578774844,79,16.11,-97.16,87.8,9.17
375,rundu,100,NA,1578774844,88,-17.93,19.77,73.4,3.36
376,mbandaka,0,CD,1578774844,78,0.05,18.26,74.34,2.26
377,pareora,43,NZ,1578774844,78,-44.49,171.21,62.01,7.0
378,mount isa,81,AU,1578774844,42,-20.73,139.5,84.2,5.82
379,berezanka,53,UA,1578774844,90,46.85,31.39,38.34,13.2
380,creel,0,MX,1578774845,14,27.75,-107.63,60.55,9.91
381,mangaratiba,75,BR,1578774845,63,-22.96,-44.04,92.64,8.05
